epoch,lr-AdamW,step,test/hr@10,test/hr@100,test/hr@200,test/hr@50,test/mrr,test/ndcg@10,test/ndcg@100,test/ndcg@200,test/ndcg@50,train/loss_epoch,train/loss_step,val/hr@10,val/hr@100,val/hr@200,val/hr@50,val/mrr,val/ndcg@10,val/ndcg@100,val/ndcg@200,val/ndcg@50
,0.001,49,,,,,,,,,,,,,,,,,,,,
0,,49,,,,,,,,,,,1.1597130298614502,,,,,,,,,
0,,75,,,,,,,,,,1.4515687227249146,,,,,,,,,,
,0.0009990232305719944,99,,,,,,,,,,,,,,,,,,,,
1,,99,,,,,,,,,,,1.0615651607513428,,,,,,,,,
,0.0009990232305719944,149,,,,,,,,,,,,,,,,,,,,
1,,149,,,,,,,,,,,0.9585590362548828,,,,,,,,,
1,,151,,,,,,,,,,,,0.04884105920791626,0.2682119309902191,0.3973509967327118,0.16721853613853455,0.023379400372505188,0.023634323850274086,0.06504599750041962,0.08307162672281265,0.04878130182623863
1,,151,,,,,,,,,,1.0244839191436768,,,,,,,,,,
,0.0009960967771506664,199,,,,,,,,,,,,,,,,,,,,
2,,199,,,,,,,,,,,0.8312669396400452,,,,,,,,,
2,,227,,,,,,,,,,0.8684465289115906,,,,,,,,,,
,0.0009912321891107007,249,,,,,,,,,,,,,,,,,,,,
3,,249,,,,,,,,,,,0.7472563982009888,,,,,,,,,
,0.0009912321891107007,299,,,,,,,,,,,,,,,,,,,,
3,,299,,,,,,,,,,,0.723874568939209,,,,,,,,,
3,,303,,,,,,,,,,,,0.1134105995297432,0.40149006247520447,0.5447019934654236,0.2731788158416748,0.05857360363006592,0.06388508528470993,0.11895019561052322,0.13892622292041779,0.09826304763555527
3,,303,,,,,,,,,,0.7668876647949219,,,,,,,,,,
,0.0009844486647586721,349,,,,,,,,,,,,,,,,,,,,
4,,349,,,,,,,,,,,0.7233150601387024,,,,,,,,,
4,,379,,,,,,,,,,0.7085948586463928,,,,,,,,,,
,0.0009757729755661009,399,,,,,,,,,,,,,,,,,,,,
5,,399,,,,,,,,,,,0.6501842737197876,,,,,,,,,
,0.0009757729755661009,449,,,,,,,,,,,,,,,,,,,,
